transaction_id,date,customer_id,amount,type,description
1,2022-01-07,177,410.16,transfer,Reimbursed Jessica for grocery run
2,2024-09-14,805,79.02,debit,Vet bill for dog medical care
3,2020-08-29,846,58.45,transfer,Moved funds to household savings
4,2024-03-14,200,69.04,debit,Bought used programming book from thrift store
5,2022-07-05,828,188.6,debit,Donated to open source project
6,2023-06-21,541,180.91,debit,Coffee for morning routine
7,2024-03-27,160,424.85,credit,Found cash in old clothing
8,2022-01-12,848,472.75,credit,Payment for small repair job
9,2020-10-15,880,56.43,transfer,Paid neighbor for shared internet data
10,2020-08-13,532,71.69,debit,Sports equipment for teen activities
11,2022-07-16,423,249.74,debit,Renewed free tier IDE license
12,2023-06-01,876,104.35,debit,Renewed free tier IDE license
13,2024-11-01,277,288.86,credit,Found cash in old clothing
14,2021-09-18,422,213.15,debit,Coffee for morning routine
15,2023-03-16,967,32.73,debit,Bought used programming book from thrift store
16,2024-11-13,362,531.12,credit,Sold chicken eggs at local market
17,2022-11-06,846,491.73,credit,Bartered coding help for farm goods
18,2022-10-11,170,104.68,debit,Coffee for morning routine
19,2020-08-09,963,180.32,debit,Library card for internet access
20,2022-09-17,469,42.91,transfer,Paid friend for shared meal cost
21,2020-11-21,249,242.18,transfer,Sent funds for teen school trip
22,2022-07-21,316,414.45,transfer,Paid neighbor for shared internet data
23,2020-09-26,740,267.95,debit,Library card for internet access
24,2020-06-11,716,793.11,credit,Payment for small repair job
25,2021-09-19,123,54.1,debit,Drove to town for job fair
26,2020-04-15,833,31.33,debit,Drove to town for job fair
27,2024-10-04,186,595.84,credit,Found cash in old clothing
28,2022-08-18,893,519.33,credit,Crowdfunding tip for open source contribution
29,2022-07-22,455,383.93,transfer,Paid friend for shared meal cost
30,2022-03-07,844,612.54,credit,Sold chicken eggs at local market
31,2023-03-01,599,408.13,credit,Overtime pay for hospital shift
32,2024-05-01,814,454.78,transfer,Sent funds to investment account
33,2021-12-20,984,541.57,credit,Sold app prototype to local business
34,2021-01-06,354,596.03,credit,Hospital paycheck for medical coding
35,2024-05-04,840,18.31,transfer,Reimbursed Jessica for grocery run
36,2024-08-13,718,321.08,transfer,Paid friend for shared meal cost
37,2020-01-29,279,35.28,debit,Taco purchase from local food truck
38,2022-03-20,868,258.99,debit,Library card for internet access
39,2021-04-23,292,140.58,transfer,Sent funds to investment account
40,2024-11-05,787,138.78,transfer,Sent funds for teen school trip
41,2023-04-14,477,490.85,transfer,Moved funds to household savings
42,2022-03-01,842,841.28,credit,Hospital paycheck for medical coding
43,2022-07-09,227,866.13,credit,Payment for teaching basic computer skills
44,2020-10-19,853,171.58,transfer,Reimbursed Jessica for grocery run
45,2022-05-29,840,157.86,transfer,Split cost of family dinner out
46,2022-08-08,345,117.94,transfer,Sent funds for teen school trip
47,2023-10-19,763,413.26,transfer,Split cost of family dinner out
48,2024-10-24,477,605.24,credit,Overtime pay for hospital shift
49,2024-01-10,908,430.95,transfer,Sent funds to investment account
50,2020-12-18,288,417.75,transfer,Sent funds for teen school trip
51,2022-09-03,902,427.19,credit,Neighbor paid for router setup
52,2020-12-31,575,267.4,debit,Gas for driving to town
53,2023-08-10,494,135.83,debit,Garden supplies for vegetable patch
54,2023-12-10,830,90.68,debit,Commuting gas for hospital job
55,2023-10-01,939,452.92,transfer,Sent funds for teen school trip
56,2020-02-11,120,215.08,credit,Sold chicken eggs at local market
57,2021-12-20,502,375.08,credit,Bartered coding help for farm goods
58,2024-05-25,400,113.88,credit,Tax refund from previous year
59,2024-01-22,462,257.69,debit,Vet bill for dog medical care
60,2020-12-12,259,112.17,debit,Flour for baking bread
61,2022-09-23,301,309.92,transfer,Moved funds to household savings
62,2021-11-09,225,835.5,credit,Refund from returned computer accessory
63,2020-11-24,712,110.39,transfer,Paid neighbor for shared internet data
64,2024-07-19,830,68.21,transfer,Paid friend for shared meal cost
65,2021-07-24,792,41.69,credit,Refund from returned computer accessory
66,2024-10-11,840,254.43,transfer,Sent funds to investment account
67,2022-06-20,657,212.48,credit,Sold old computer parts locally
68,2020-02-15,443,650.07,credit,Overtime pay for hospital shift
69,2021-01-08,314,210.82,debit,Cat food for household pets
70,2022-09-27,548,291.41,debit,Bought used monitor for coding setup
71,2020-06-06,627,109.0,transfer,Split cost of community event
72,2023-06-20,346,267.14,transfer,Sent funds to investment account
73,2021-09-05,586,177.47,debit,Commuting gas for hospital job
74,2022-06-28,157,235.75,debit,Donated to coding community project
75,2023-12-16,688,321.93,credit,Fixed neighbors computer for payment
